height,Model,Scenarios,Ensemble,Final year,slope,intercept,r_value,p_value,std_err,Time Span
TUS,MIROC6,SSP3-7.0,r20i1p1f1,2042,-0.08547379771380581,397.49627600462406,-0.9696916127671742,1.8362083316721044e-12,0.0050762574555421,20 years
TUS,CanESM5,SSP2-4.5,r9i1p1f1,2042,-0.07514801196806417,378.4372257104641,-0.9609301404819773,1.7479687670988696e-11,0.005102011268015841,20 years
TUS,CanESM5,SSP2-4.5,r9i1p1f1,2037,-0.07829730849677746,384.82056763937914,-0.9306424997806777,4.87113676623252e-07,0.00853866396675191,15 years
TUS,CanESM5,SSP2-4.5,r9i1p1f1,2032,-0.12185350028983619,473.0908731851801,-0.9905795030426776,3.4068678791665125e-08,0.005955666202661991,10 years
TUS,CanESM5,SSP2-4.5,r9i1p1f1,2027,-0.1550577193734881,540.326073312232,-0.9920141807456818,0.0008556421271041826,0.011382059074096515,5 years
TUS,CanESM5,SSP2-4.5,r8i1p2f1,2042,-0.07254564441186827,373.16508639960523,-0.9531148032708874,8.766709703741992e-11,0.0054288973818623805,20 years
TUS,CanESM5,SSP2-4.5,r8i1p2f1,2037,-0.07592675888870863,380.0195645866081,-0.9140028965272392,1.8918976771413465e-06,0.009347356796688322,15 years
TUS,CanESM5,SSP2-4.5,r8i1p2f1,2032,-0.12295873342393855,475.3338601813356,-0.9884787026050647,7.602676797347154e-08,0.006656688525924697,10 years
TUS,CanESM5,SSP2-4.5,r8i1p2f1,2027,-0.15482255244471332,539.8551085223953,-0.997398451825141,0.00015922531543971814,0.006460307595973621,5 years
TUS,CanESM5,SSP2-4.5,r8i1p1f1,2042,-0.07460596681972573,377.3478449364794,-0.9599046250557094,2.198746958473132e-11,0.005135394769422712,20 years
TUS,CanESM5,SSP2-4.5,r8i1p1f1,2037,-0.07574590808001824,379.65636122386456,-0.9214755883064555,1.0672806082111523e-06,0.008855711245752865,15 years
TUS,CanESM5,SSP3-7.0,r10i1p1f1,2027,-0.16349506113832604,557.3411370252526,-0.9756919854761411,0.004532817176606735,0.021201453497974407,5 years
TUS,CanESM5,SSP2-4.5,r8i1p1f1,2032,-0.12159033865618492,472.56439364476773,-0.9949653365502711,2.7940461806754122e-09,0.00433011093888193,10 years
TUS,CanESM5,SSP2-4.5,r7i1p2f1,2042,-0.07429848066814043,376.7298479451016,-0.955486337925331,5.542870373449807e-11,0.005407459234139869,20 years
TUS,CanESM5,SSP2-4.5,r7i1p2f1,2037,-0.07646241578578647,381.1159009279771,-0.9133465959902918,1.984522392219087e-06,0.009454321408118332,15 years
TUS,CanESM5,SSP2-4.5,r7i1p2f1,2032,-0.1211088886769124,471.59806259201315,-0.9804912800399556,6.189985101311956e-07,0.008583969076703505,10 years
TUS,CanESM5,SSP2-4.5,r7i1p2f1,2027,-0.16891751779917286,568.400915334416,-0.9712583431217496,0.005823985780981082,0.02390049928934474,5 years
TUS,CanESM5,SSP2-4.5,r7i1p1f1,2042,-0.07335477917878064,374.80382022242395,-0.9640299850898901,8.401293629645759e-12,0.004767009144565646,20 years
TUS,CanESM5,SSP2-4.5,r7i1p1f1,2037,-0.0741376638235998,376.3899237619336,-0.9244746807779767,8.347411834078931e-07,0.008479584744667899,15 years
TUS,CanESM5,SSP2-4.5,r7i1p1f1,2032,-0.11705152368501236,463.3561271917365,-0.9869854092391709,1.2356665669417215e-07,0.006742701636377362,10 years
TUS,CanESM5,SSP2-4.5,r7i1p1f1,2027,-0.13682940114852613,503.40525384262526,-0.9740595942195087,0.004995763766523984,0.018352776796223165,5 years
TUS,CanESM5,SSP2-4.5,r6i1p1f1,2042,-0.07730820747276253,382.8404505169282,-0.9641539034908315,8.14805815515014e-12,0.005014777621296487,20 years
TUS,CanESM5,SSP2-4.5,r6i1p1f1,2037,-0.07953609560512079,387.3563529376704,-0.9306434397681993,4.870718889008455e-07,0.008673693693131814,15 years
TUS,CanESM5,SSP2-4.5,r8i1p1f1,2027,-0.13170887512068816,493.0530415563979,-0.9961765010013242,0.0002836456276130279,0.006668805945958814,5 years
TUS,CanESM5,SSP2-4.5,r6i1p1f1,2032,-0.12443837937377526,478.352710130665,-0.9896775713771314,4.9058677850100426e-08,0.006370857941733281,10 years
TUS,CanESM5,SSP3-7.0,r10i1p1f1,2032,-0.12801844497108164,485.5084747293306,-0.9854078585643423,1.9490771350738598e-07,0.007818004501087975,10 years
TUS,CanESM5,SSP3-7.0,r10i1p1f1,2042,-0.09860058770362719,425.90310516270563,-0.9812595170178923,2.5302106043094786e-14,0.004563735242816717,20 years
TUS,CanESM5,SSP3-7.0,r13i1p2f1,2037,-0.0952466844343124,419.0889925167236,-0.9581922668935877,1.9402171254301653e-08,0.007888265228286546,15 years
TUS,CanESM5,SSP3-7.0,r13i1p2f1,2032,-0.13432838521179497,498.291672461017,-0.991498486764963,2.262171297832995e-08,0.006232594223527105,10 years
TUS,CanESM5,SSP3-7.0,r13i1p2f1,2027,-0.1662063041837911,562.8368978542603,-0.9911365040214627,0.0010003758243137468,0.012861938737291601,5 years
TUS,CanESM5,SSP3-7.0,r13i1p1f1,2042,-0.09488635968809422,418.33484934225487,-0.9798512521727814,4.832172313227251e-14,0.004558770116972998,20 years
TUS,CanESM5,SSP3-7.0,r13i1p1f1,2037,-0.09109543672057155,410.6432067732852,-0.9556716856499645,2.8213427133830683e-08,0.007784035528697904,15 years
TUS,CanESM5,SSP3-7.0,r13i1p1f1,2032,-0.1275155359425362,484.4535405781786,-0.9877444803616234,9.725312923237556e-08,0.007123929924023381,10 years
TUS,CanESM5,SSP3-7.0,r13i1p1f1,2027,-0.1297265985152592,488.94211412073196,-0.9572455481079307,0.01054389102378157,0.022633847051372624,5 years
TUS,CanESM5,SSP3-7.0,r12i1p2f1,2042,-0.09439727018672314,417.3498414522202,-0.9759743915803658,2.3219969811518106e-13,0.004967211057023939,20 years
TUS,CanESM5,SSP3-7.0,r12i1p2f1,2037,-0.09397056827284667,416.48089698156724,-0.9513130052359695,5.1358912986845716e-08,0.008444359161653404,15 years
TUS,CanESM5,SSP3-7.0,r12i1p2f1,2032,-0.13414484810584315,497.8984470458728,-0.9882308273500847,8.275895168812189e-08,0.00734136768353794,10 years
TUS,CanESM5,SSP3-7.0,r10i1p1f1,2037,-0.09468117995874922,417.9491655641365,-0.9644706082762461,6.84073407487426e-09,0.007193158699746109,15 years
TUS,CanESM5,SSP3-7.0,r12i1p2f1,2027,-0.1616013541490645,553.4937581301249,-0.988749079421947,0.0014301502146852598,0.014115046117021472,5 years
TUS,CanESM5,SSP3-7.0,r12i1p1f1,2032,-0.1384177677076078,506.5796900489879,-0.9817758290528523,4.7210623248886824e-07,0.009472959174614012,10 years
TUS,CanESM5,SSP3-7.0,r12i1p1f1,2027,-0.16793807582805018,566.3648036817935,-0.9889360923985402,0.0013946801028976886,0.014544038072279985,5 years
TUS,CanESM5,SSP3-7.0,r11i1p1f1,2042,-0.09572914735562035,420.0551935020044,-0.9826424276761277,1.2755839967991283e-14,0.004259701001123042,20 years
TUS,CanESM5,SSP3-7.0,r11i1p1f1,2037,-0.09395073552339395,416.4459286296611,-0.9616260463359256,1.1208088818640636e-08,0.007434447063287388,15 years
TUS,CanESM5,SSP3-7.0,r11i1p1f1,2032,-0.12930580307699793,488.0979707909562,-0.9897177982641963,4.830074296279018e-08,0.006606941244898856,10 years
TUS,CanESM5,SSP3-7.0,r11i1p1f1,2027,-0.16392203913879655,558.1918904345252,-0.995142108310393,0.0004061522679786943,0.009362728898877666,5 years
TUS,CanESM5,SSP3-7.0,r10i1p2f1,2042,-0.09446957507547263,417.4987815285039,-0.9797719374359602,5.004646343598647e-14,0.004547947463260047,20 years
TUS,CanESM5,SSP3-7.0,r10i1p2f1,2037,-0.09323471359668319,414.993163573439,-0.9538311621812786,3.658947173337997e-08,0.008142400218393641,15 years
TUS,CanESM5,SSP3-7.0,r10i1p2f1,2032,-0.13072007673107205,490.96023865627353,-0.9799948930923635,6.840335949039252e-07,0.009385900835147759,10 years
TUS,CanESM5,SSP3-7.0,r10i1p2f1,2027,-0.1599813566941748,550.214687399477,-0.9324435523416448,0.020863325280682313,0.03579093208621815,5 years
TUS,CanESM5,SSP3-7.0,r12i1p1f1,2037,-0.09547911467236857,419.56316125028735,-0.9481764838745024,7.647925107904068e-08,0.008874116246046062,15 years
TUS,CanESM5,SSP3-7.0,r13i1p2f1,2042,-0.09655708353784653,421.74913170110676,-0.9810956639182751,2.7347920906287373e-14,0.00448921049222135,20 years
TUS,CanESM5,SSP2-4.5,r6i1p1f1,2027,-0.14754318744263628,525.14057161847,-0.9869359785683529,0.0017889421909641006,0.013905926569683858,5 years
TUS,CanESM5,SSP2-4.5,r5i1p2f1,2037,-0.0772969677450686,382.7938653866056,-0.9146529048921764,1.8037488341318044e-06,0.009474883151907093,15 years
TUS,CanESM5,SSP2-4.5,r23i1p2f1,2042,-0.07641170330849276,381.02812549831003,-0.9656345434583673,5.604355814185936e-12,0.004847560987274464,20 years
TUS,CanESM5,SSP2-4.5,r23i1p2f1,2037,-0.07961268481530459,387.51672994934233,-0.9380856604626431,2.3717897812655928e-07,0.008153615037156036,15 years
TUS,CanESM5,SSP2-4.5,r23i1p2f1,2032,-0.12099532302408197,471.37955620951965,-0.9882435490996558,8.240296558091856e-08,0.0066180875784771255,10 years
TUS,CanESM5,SSP2-4.5,r23i1p2f1,2027,-0.14058494102928593,511.0582167895811,-0.9916938331575684,0.0009075968810482285,0.01052718312208387,5 years
TUS,CanESM5,SSP2-4.5,r23i1p1f1,2042,-0.07476974979339567,377.690728309541,-0.9637504280078468,8.998348036060576e-12,0.004878874858724584,20 years
TUS,CanESM5,SSP2-4.5,r23i1p1f1,2037,-0.07548185489972527,379.1325663949898,-0.9259194975048599,7.38867894373015e-07,0.008540212621714088,15 years
TUS,CanESM5,SSP2-4.5,r23i1p1f1,2032,-0.11860409622496078,466.5219741888599,-0.985718060071223,1.7892220246869063e-07,0.007163980173151588,10 years
TUS,CanESM5,SSP2-4.5,r23i1p1f1,2027,-0.15598184795255465,542.2081045990553,-0.9853853030372923,0.0021162366105573972,0.015567707461071266,5 years
TUS,CanESM5,SSP2-4.5,r22i1p2f1,2042,-0.07782611085875922,383.89634122495164,-0.9661881539947369,4.852042796733177e-12,0.004895244025821332,20 years
TUS,CanESM5,SSP2-4.5,r22i1p2f1,2037,-0.07949932469546812,387.2869461432982,-0.9332768429082863,3.811739095369723e-07,0.008485288082991186,15 years
TUS,CanESM5,SSP2-4.5,r24i1p2f1,2027,-0.15653481645572073,543.3287327161917,-0.9972524799315002,0.00017280889834506518,0.006713239128367295,5 years
TUS,CanESM5,SSP2-4.5,r22i1p2f1,2032,-0.12087783148972552,471.14268022857095,-0.9873311448910457,1.1099661658427735e-07,0.006868195267296064,10 years
TUS,CanESM5,SSP2-4.5,r22i1p1f1,2042,-0.07384394163324849,375.80023375305655,-0.958099247333331,3.246769031596068e-11,0.005203509852479752,20 years
TUS,CanESM5,SSP2-4.5,r22i1p1f1,2037,-0.07373872413283168,375.58346456554705,-0.9155075898054608,1.693088746273346e-06,0.00898695944072485,15 years
TUS,CanESM5,SSP2-4.5,r22i1p1f1,2032,-0.1189635374399927,467.2351797287557,-0.9878345131901044,9.443690901091389e-08,0.006621243201415294,10 years
TUS,CanESM5,SSP2-4.5,r22i1p1f1,2027,-0.14756115368380449,525.1467579866351,-0.9853717083778043,0.0021191857546081698,0.014734284290982901,5 years
TUS,CanESM5,SSP2-4.5,r21i1p2f1,2042,-0.07546457994601397,379.1030952787171,-0.9608270922449975,1.7892273352606732e-11,0.005130671634847001,20 years
TUS,CanESM5,SSP2-4.5,r21i1p2f1,2037,-0.07507610502898122,378.31259318583477,-0.917365180231123,1.4720185875591326e-06,0.009034867032409976,15 years
TUS,CanESM5,SSP2-4.5,r21i1p2f1,2032,-0.11932086314788984,467.98016277541217,-0.9884906575340935,7.571279667249131e-08,0.0064563320434370955,10 years
TUS,CanESM5,SSP2-4.5,r21i1p2f1,2027,-0.12210177200506962,473.62394029545817,-0.9797960150315078,0.0034369154729726814,0.014389788534555881,5 years
TUS,CanESM5,SSP2-4.5,r20i1p2f1,2042,-0.07705792364028123,382.3235260567968,-0.9658575372013287,5.289735330081263e-12,0.004871822089200461,20 years
TUS,CanESM5,SSP2-4.5,r20i1p2f1,2037,-0.07859125594220738,385.43002595391897,-0.9345847921417294,3.362229154385317e-07,0.008296923595832038,15 years
TUS,CanESM5,SSP2-4.5,r22i1p2f1,2027,-0.15212892488208354,534.4100720480483,-0.9896563286045124,0.001260871860279579,0.012731898093797581,5 years
TUS,CanESM5,SSP2-4.5,r5i1p2f1,2042,-0.07378500635008137,375.6758296109432,-0.9469500051992646,2.6051905656590835e-10,0.005902349040743845,20 years
TUS,CanESM5,SSP2-4.5,r24i1p2f1,2032,-0.1259672810133409,481.423973313956,-0.9866555834191527,1.3652270074862395e-07,0.007349508060687183,10 years
TUS,CanESM5,SSP2-4.5,r24i1p2f1,2042,-0.07614570202213795,380.46340497136475,-0.95199208449069,1.0802886666834942e-10,0.005771268183469131,20 years
TUS,CanESM5,SSP2-4.5,r5i1p2f1,2032,-0.12648238098792708,482.4694573044144,-0.9900691839846686,4.204679329727407e-08,0.006349595376213777,10 years
TUS,CanESM5,SSP2-4.5,r5i1p2f1,2027,-0.14501135803782006,519.9950028609882,-0.9904435662890174,0.0011198351862851115,0.011658280958221464,5 years
TUS,CanESM5,SSP2-4.5,r4i1p1f1,2042,-0.07492186305817805,377.9942742681525,-0.9547061539039919,6.462559119902199e-11,0.005503803675569005,20 years
TUS,CanESM5,SSP2-4.5,r4i1p1f1,2037,-0.07906762516858104,386.40002126939845,-0.9173385990512425,1.475002482609867e-06,0.009516957705015839,15 years
TUS,CanESM5,SSP2-4.5,r4i1p1f1,2032,-0.12827685537457786,486.1259039344717,-0.9919173903220538,1.8491236426316588e-08,0.005801486312137056,10 years
TUS,CanESM5,SSP2-4.5,r4i1p1f1,2027,-0.16106839171476964,552.5241052926882,-0.9917888533896057,0.0008920802734262868,0.01199096192469689,5 years
TUS,CanESM5,SSP2-4.5,r3i1p2f1,2042,-0.07451755606302649,377.16421676221563,-0.9604056618474996,1.9670759413576823e-11,0.0050951521432423385,20 years
TUS,CanESM5,SSP2-4.5,r3i1p2f1,2037,-0.07864249663077517,385.5280820860559,-0.9261492928967536,7.245054116127792e-07,0.008882330292727544,15 years
TUS,CanESM5,SSP2-4.5,r3i1p2f1,2032,-0.12190520767354278,473.20400124886277,-0.9854456274631512,1.9290640256531481e-07,0.007434817986619038,10 years
TUS,CanESM5,SSP2-4.5,r3i1p2f1,2027,-0.1340789100159924,497.8559065585153,-0.9463622916959563,0.014791554354791516,0.026429525383748896,5 years
TUS,CanESM5,SSP2-4.5,r24i1p2f1,2037,-0.07516170008928853,378.4637490287489,-0.9020884080785986,4.269491749642857e-06,0.009972595912733813,15 years
TUS,CanESM5,SSP2-4.5,r3i1p1f1,2042,-0.07424897130241408,376.6355379270525,-0.9528678727604297,9.182787352642596e-11,0.005572068608180981,20 years
TUS,CanESM5,SSP2-4.5,r3i1p1f1,2032,-0.12447270378392011,478.41921307556595,-0.985295802359886,2.0093681644080292e-07,0.007631251649775481,10 years
TUS,CanESM5,SSP2-4.5,r3i1p1f1,2027,-0.15870457934598223,547.7428842175016,-0.9936838846089462,0.0006020007817480007,0.010347460123114282,5 years
TUS,CanESM5,SSP2-4.5,r2i1p2f1,2042,-0.07658359830921868,381.3673932287883,-0.9661357599639513,4.919189995413711e-12,0.004821018258998416,20 years
TUS,CanESM5,SSP2-4.5,r2i1p2f1,2037,-0.07865346174146065,385.56405887210263,-0.9297812067691441,5.266874840671176e-07,0.008636665885536483,15 years
TUS,CanESM5,SSP2-4.5,r2i1p2f1,2032,-0.12045608013313042,470.2818573840421,-0.986625059043026,1.3777106463878713e-07,0.007036156367833567,10 years
TUS,CanESM5,SSP2-4.5,r2i1p2f1,2027,-0.1478284517611428,525.7133319796568,-0.9804009409402479,0.003284020016275075,0.017150937113179235,5 years
TUS,CanESM5,SSP2-4.5,r25i1p2f1,2042,-0.07500342127710267,378.16446216206305,-0.9534379510442984,8.247436141199923e-11,0.005592013855826657,20 years
TUS,CanESM5,SSP2-4.5,r25i1p2f1,2037,-0.07737392167883052,382.96940627105397,-0.9096723265459826,2.5759861931410854e-06,0.009797782397291893,15 years
TUS,CanESM5,SSP2-4.5,r25i1p2f1,2032,-0.1259163491011467,481.3473961138408,-0.9951031674208123,2.5008335481195565e-09,0.0044219041846070735,10 years
TUS,CanESM5,SSP2-4.5,r25i1p2f1,2027,-0.13395319794913121,497.627963666314,-0.9890717764229718,0.001369131060881087,0.011528283897148859,5 years
TUS,CanESM5,SSP2-4.5,r3i1p1f1,2037,-0.0760764243606359,380.3393688204684,-0.9064125157977782,3.217525995582549e-06,0.009832633443937453,15 years
TUS,CanESM5,SSP2-4.5,r20i1p2f1,2032,-0.11861009538657892,466.53214465244673,-0.9875042966922472,1.050736310062406e-07,0.006692248488907303,10 years
TUS,CanESM5,SSP3-7.0,r14i1p1f1,2027,-0.15129186781442172,532.6207154319073,-0.9882331933689676,0.0015295150599259717,0.013519433328977993,5 years
TUS,CanESM5,SSP3-7.0,r14i1p1f1,2037,-0.09600066773432638,420.6022736155019,-0.9645680447522408,6.721291878511111e-09,0.007282840602471149,15 years
TUS,CanESM5,SSP3-7.0,r2i1p2f1,2027,-0.16169131265057787,553.7097534230323,-0.9837815844615849,0.002473358853082236,0.017020742818855034,5 years
TUS,CanESM5,SSP3-7.0,r25i1p2f1,2042,-0.09510516529927365,418.8022346282013,-0.9786374280316608,8.144742254907395e-14,0.004709295149937354,20 years
TUS,CanESM5,SSP3-7.0,r25i1p2f1,2037,-0.09506348327695123,418.71396779003265,-0.9584327271357195,1.869908462361794e-08,0.007848930933882512,15 years
TUS,CanESM5,SSP3-7.0,r25i1p2f1,2032,-0.13512805133177608,499.90511272661877,-0.9889354095562424,6.47055236403243e-08,0.007166557742208265,10 years
TUS,CanESM5,SSP3-7.0,r25i1p2f1,2027,-0.1593139304584014,548.8864754774552,-0.9839317269821808,0.002439147888270143,0.016690760399349015,5 years
TUS,CanESM5,SSP3-7.0,r24i1p2f1,2042,-0.09528960084856727,419.1742178944478,-0.9761775883875933,2.1527049801965803e-13,0.004992134405461259,20 years
TUS,CanESM5,SSP3-7.0,r24i1p2f1,2037,-0.09260891186347207,413.7355984551846,-0.9450307720705782,1.1131919451437559e-07,0.008887062037821207,15 years
TUS,CanESM5,SSP3-7.0,r24i1p2f1,2032,-0.13252601980434883,494.6349532196342,-0.9858366719214696,1.730767880913459e-07,0.007970867921425292,10 years
TUS,CanESM5,SSP3-7.0,r24i1p2f1,2027,-0.14917399102421314,528.35497362032,-0.9676617388782545,0.006946898065785877,0.022451350214507882,5 years
TUS,CanESM5,SSP3-7.0,r24i1p1f1,2042,-0.09423385857261647,417.03436499543443,-0.9747686505785241,3.592127005202908e-13,0.005086247853297933,20 years
TUS,CanESM5,SSP3-7.0,r2i1p2f1,2032,-0.137893275602542,505.5126438451446,-0.9893221656681558,5.6148099761339844e-08,0.007182150564084829,10 years
TUS,CanESM5,SSP3-7.0,r24i1p1f1,2037,-0.09578725133933647,420.18160012172564,-0.9524667365049829,4.406903950433082e-08,0.008497219863803406,15 years
